postid,userid,username,src,views,likes,type,tagged_users,captions,comments_count
3537313320809873778,173560420,cristiano,https://instagram.fadb6-1.fna.fbcdn.net/v/t51.2885-15/471989791_18597973315056421_2992110397002673459_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=instagram.fadb6-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=ON1SEo3974IQ7kNvgHk4e3n&_nc_gid=50b60f1a5cdf4c1f9615f98f896baf6b&edm=APU89FABAAAA&ccb=7-5&oh=00_AYBG001m-ReDztmFROT4uHRlHII_1YoQBNThhWspf8cpTw&oe=67802332&_nc_sid=bc0c2c,0,6848918,GraphSidecar,alnassr,Back to work,41521
3535200854645140267,173560420,cristiano,https://instagram.fadb6-1.fna.fbcdn.net/v/t39.30808-6/471199666_1243948443758360_3973335327799519382_n.jpg?stp=dst-jpg_e15_fr_s1080x1080_tt6&_nc_ht=instagram.fadb6-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=etfNJlbikK4Q7kNvgEOAVyc&_nc_gid=50b60f1a5cdf4c1f9615f98f896baf6b&edm=APU89FAAAAAA&ccb=7-5&oh=00_AYAmMMes4HRob8MaS0eLu4x-C3JQilxijIqJ887cZUCQxw&oe=67801DC7&_nc_sid=bc0c2c,0,14768547,GraphSidecar,doloresaveiroofficial,"Feliz aniversário, Mãe! Obrigado por me inspirares todos os dias e pelo apoio incondicional. Amo-te! ❤️",99272
3534522729724466912,1431248158,whoop,https://instagram.fadb6-1.fna.fbcdn.net/v/t51.2885-15/472105592_18484005520016159_5399509250962610962_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fadb6-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=1RSMXYdt0J4Q7kNvgFKfmDN&_nc_gid=50b60f1a5cdf4c1f9615f98f896baf6b&edm=APU89FABAAAA&ccb=7-5&oh=00_AYCdnCmIt7mZ6ANmB0L-IGeO8I1IVnnxU9XW0uVjB_GqMQ&oe=67801C85&_nc_sid=bc0c2c,8479061,1242111,GraphVideo,cristiano,"On the pitch, relentless. Off the pitch, intentional. Recovery is key to staying at the top. What was your top Recovery tool in 2024?",15518
3532546238945919688,173560420,cristiano,https://instagram.fadb6-1.fna.fbcdn.net/v/t51.2885-15/470914320_18596588689056421_2150724217806664276_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fadb6-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=5f-nnc8j4_MQ7kNvgEdC-XT&_nc_gid=50b60f1a5cdf4c1f9615f98f896baf6b&edm=APU89FABAAAA&ccb=7-5&oh=00_AYDG4z6L5vH4vfnpY3Ag-JcrrrJLylOQ9eYgkksW8Vg_iw&oe=67804B86&_nc_sid=bc0c2c,0,12139043,GraphImage,globesoccer,A special night with the family ❤️🏆,71150
3532474832895879723,173560420,cristiano,https://instagram.fadb6-1.fna.fbcdn.net/v/t39.30808-6/471176346_1241132537373284_1742666706903295829_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=instagram.fadb6-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=WGBGJjEwdycQ7kNvgGPX6JU&_nc_gid=50b60f1a5cdf4c1f9615f98f896baf6b&edm=APU89FAAAAAA&ccb=7-5&oh=00_AYBQrXm3eYI2C17GM_W5TywQpFKjdx27vZrjhJBoMn-l7Q&oe=67804984&_nc_sid=bc0c2c,0,10797347,GraphSidecar,globesoccer,"A great way to end the year. Thank you to my teammates, staff, to everyone who has supported me along the way, and especially to my family. There is still more to come!",87471
3530772262305300855,173560420,cristiano,https://instagram.fadb6-1.fna.fbcdn.net/v/t51.2885-15/470917396_18596094262056421_1112575954989684374_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fadb6-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=QQ3ndn3-Yx0Q7kNvgF4RkHF&_nc_gid=50b60f1a5cdf4c1f9615f98f896baf6b&edm=APU89FABAAAA&ccb=7-5&oh=00_AYAxVEqsRqFT-6N1XRbu9ArJa_pBXaGWWEHqoFlBgzrQhw&oe=67801C2F&_nc_sid=bc0c2c,0,14216630,GraphImage,,The most important part of Christmas 🎄,71062
3530304510847139796,173560420,cristiano,https://instagram.fadb6-1.fna.fbcdn.net/v/t51.2885-15/471603671_1108462520811557_8972201089400354124_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fadb6-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=5I-TUxxGc2wQ7kNvgEiGVe3&_nc_gid=50b60f1a5cdf4c1f9615f98f896baf6b&edm=APU89FABAAAA&ccb=7-5&oh=00_AYBGFA4GZU0gq97ZlzddYC_tKlHv9gkHH50lJnrRldXWsA&oe=67803840&_nc_sid=bc0c2c,108468010,19588974,GraphVideo,,"It’s just a little cold 🥶😂

Watch my complete family trip video on UR Cristiano!",276547
3530137240990845343,173560420,cristiano,https://instagram.fadb6-1.fna.fbcdn.net/v/t51.2885-15/471354701_18595900414056421_5387676742263196022_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=instagram.fadb6-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=reCrEJfrh-QQ7kNvgFbPcC8&_nc_gid=50b60f1a5cdf4c1f9615f98f896baf6b&edm=APU89FABAAAA&ccb=7-5&oh=00_AYB3sQvVHmM7mhS2tgBYlkSj6JpqONHbS4-2UePw4Kl3ZQ&oe=678022F1&_nc_sid=bc0c2c,0,14614801,GraphImage,,"Merry Christmas, everyone! 🎄",125453
3529971915382934086,173560420,cristiano,https://instagram.fadb6-1.fna.fbcdn.net/v/t51.2885-15/471371047_18595861720056421_4047765782404374379_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fadb6-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=g84gigCeINUQ7kNvgHvJTOA&_nc_gid=50b60f1a5cdf4c1f9615f98f896baf6b&edm=APU89FABAAAA&ccb=7-5&oh=00_AYCpJrjvoejqg4bh9dJ4Jevu2A6WkAGOXKI3WXpRfxqIKA&oe=67804B4F&_nc_sid=bc0c2c,0,11160763,GraphImage,,❄️ ⛄️ 😂,48658
3525619796727039775,173560420,cristiano,https://instagram.fadb6-1.fna.fbcdn.net/v/t51.2885-15/470900816_18594617380056421_6597104634208675359_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fadb6-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=lsrY_jSNTFcQ7kNvgEoetXi&_nc_gid=50b60f1a5cdf4c1f9615f98f896baf6b&edm=APU89FABAAAA&ccb=7-5&oh=00_AYDVx4txffnhQLt6RXmRh2huN35UtBex5L9LMe3lNedj-A&oe=67802AC9&_nc_sid=bc0c2c,0,8684637,GraphImage,,Bom dia ❤️,60024
