id,username,fullname,biography,followerCount,category,isVerified
173560420,cristiano,Cristiano Ronaldo,SIUUUbscribe to my Youtube Channel!,646844103,,True
1431248158,whoop,WHOOP,"Your wearable health & fitness coach on a mission to unlock human performance.
Join now and shop our latest styles 👇",1419833,,True
485800418,globesoccer,Globe Soccer,Where Legends Are Honoured 🏆⚽️,3724829,SPORTS_EVENT,True
60279094237,saudi2034,Saudi Arabia FIFA World Cup 2034™️,"Welcome to #Saudi34 official account 🇸🇦
Growing. Together.
أهلًا بالعالم في الحساب الرسمي لكأس العالم #السعودية34🏆
معًا. ننمو.",162884,,True
2278169415,mrbeast,MrBeast,My New Show Beast Games is out now on Prime Video!,64364404,,True
427553890,leomessi,Leo Messi,Bienvenidos a la cuenta oficial de Instagram de Leo Messi / Welcome to the official Leo Messi Instagram account,504934624,ATHLETE,True
640806256,adidasfootball,adidas Football,"THE NEW PREDS ARE HERE ❤️👅🎯
#YouGotThis",35297132,SPORTS_OUTDOORS,True
1192899491,fortnite,Fortnite,"The official Instagram account for #Fortnite, Battle Royale, Creative, and Save the World. Available on Mobile, PC & Console!",26991167,VIDEO_GAMES,True
500052104,stanley_brand,Stanley 1913,"Since 1913, we have been fueling life's adventures, delivering quality food and beverage gear that's #BuiltForLife",1486355,,True
26669533,neymarjr,Neymar Jr,@alhilal & Brazil 🇧🇷,227327453,,True
2223304785,kyliecosmetics,Kylie Cosmetics,powder foundation launches january 4 ✨,24806782,SPA_BEAUTY_PERSONAL_CARE,True
12281817,kyliejenner,Kylie,@kyliecosmetics @kylieskin @khy @drinksprinter,395205719,,True
59793585159,khy,khy,"edited collections by @kyliejenner and special guest collaborators.
now available: khy x @entire_studios",1252028,,True
232192182,therock,Dwayne Johnson,"tequila sipper 
og girl dad  
builder of stuff",394862048,,True
209372398,target,Target,"Your ✨ happy place ✨ on IG. Shop the latest #TargetFinds and share your #TargetRun moments.
Shop our feed:",6124414,TOPIC_SHOPPING_RETAIL,True
18428658,kimkardashian,Kim Kardashian,@SKIMS @SKKN @SKKYPARTNERS,358924027,,True
460563723,selenagomez,Selena Gomez,"By grace, through faith. 
Founder @rarebeauty 
Founder/CIO @officialwondermind",423076507,,True
7719696,arianagrande,Ariana Grande,currently somewhere over the rainbow,376704744,,True
146182543,wmag,W Magazine,"Fashion, entertainment, art and design. 
V1: Best Performances",3901511,MAGAZINE,True
480806400,variety,Variety,The business of entertainment.,2314881,MAGAZINE,True
11830955,taylorswift,Taylor Swift,All’s fair in love and poetry... New album THE TORTURED POETS DEPARTMENT. Out now 🤍,283139589,,True
11915119,voguemexico,Vogue México y Latinoamérica,"Antes de estar de moda, está en Vogue.",1546562,,True
247944034,beyonce,Beyoncé,"HOUSTON, TEXAS      12.25.24",313597350,,True
6860189,justinbieber,Justin Bieber,"JUSTICE the album out now
@SKYLRK",295016103,,True
1404208,zoesugg,Zoë Sugg,"Co founder of @filmmapp & @templateapp 
Business Enquiries & PR: enquiries@zoesugg.com (not in dms please)
👇🏼 Click for links👇🏼",9224583,,True
